country,country_code,outbreak_idx,start_date,end_date,termination_reason,total_increment,duration_weeks,model,goodness_of_fit,K,alpha,beta
Congo,COG,4,2024-01-07,2024-03-31,4 consecutive weeks no increase,19,13,Gompertz,0.9841443150323549,20.854953531251812,20.964638312626192,0.3573323580774082
Congo,COG,5,2024-08-04,2024-09-01,4 consecutive weeks no increase,2,5,Gompertz,0.9999997980439964,2.0002920746939665,3424342653719.082,8.936019982531011
Congo,COG,6,2024-09-22,2024-10-20,4 consecutive weeks no increase,1,5,Gompertz,0.9999998173250901,1.0001418201462942,4190754487123.103,8.994148349767112
Congo,COG,7,2024-11-24,2024-12-29,reached last data,2,6,Gompertz,0.9293285923619858,2.9313397818028966,9.517551214319258,0.2875671341366795
Democratic Republic of the Congo,COD,1,2022-05-15,2022-07-10,4 consecutive weeks no increase,100,9,Gompertz,0.9970734458525649,100.48847460768673,9222150102608.52,4.148287493713013
Democratic Republic of the Congo,COD,2,2022-08-07,2025-01-12,reached last data,14604,128,Gompertz,0.9976162978573757,2985472.151229403,13.49266698475263,0.007156042482525016
Egypt,EGY,1,2022-09-25,2022-12-18,reached last data,3,4,Gompertz,0.9983911870285028,3.8748305462328867,242.5319133798799,0.8520351199676256
Gabon,GAB,1,2024-08-18,2024-09-22,4 consecutive weeks no increase,2,6,Gompertz,0.999999958988487,2.0001414327997677,2659130770792.808,7.243858375337937
Ghana,GHA,1,2022-02-20,2022-03-27,4 consecutive weeks no increase,2,6,Gompertz,0.999999958988487,2.0001414327997677,2659130770792.808,7.243858375337937
Ghana,GHA,2,2022-05-29,2023-02-12,4 consecutive weeks no increase,122,38,Gompertz,0.9961093973996358,121.34617238603336,5.399932436165668,0.15553004271128892
Ghana,GHA,3,2023-03-12,2023-06-04,4 consecutive weeks no increase,4,13,Gompertz,0.9780891433523903,4.572749653978278,5.676128001789222,0.24215622511358847
Ghana,GHA,4,2024-09-15,2024-12-15,4 consecutive weeks no increase,5,14,Gompertz,0.9795666797433145,5.695631516350475,4.577917399833503,0.21536219822619704
Guinea,GIN,1,2024-01-07,2024-08-11,4 consecutive weeks no increase,1,5,Gompertz,0.9999998173250901,1.0001418201462942,4190754487123.103,8.994148349767112
Guinea,GIN,2,2024-12-01,2024-12-29,4 consecutive weeks no increase,1,5,Gompertz,0.9999998173250901,1.0001418201462942,4190754487123.103,8.994148349767112
Kenya,KEN,1,2024-07-21,2025-01-19,reached last data,36,27,Gompertz,0.9943767276813353,66.09072713931747,7.17659251642696,0.08082181768369244
Liberia,LBR,1,2022-07-24,2022-09-04,4 consecutive weeks no increase,3,7,Gompertz,0.9978898615770514,3.034121919927313,198.60380539545756,1.2806017743223128
Liberia,LBR,2,2022-11-20,2023-01-01,4 consecutive weeks no increase,3,7,Gompertz,0.9800682316593604,3.0855383120376443,81.64343816429451,0.9824277697398605
Liberia,LBR,3,2023-01-22,2023-04-09,4 consecutive weeks no increase,4,12,Gompertz,0.9877824295192001,4.30730430330264,8.863735978213521,0.3421365480882941
Liberia,LBR,4,2023-04-16,2023-05-14,4 consecutive weeks no increase,2,5,Gompertz,0.9999997980439964,2.0002920746939665,3424342653719.082,8.936019982531011
Liberia,LBR,5,2023-11-12,2023-12-24,4 consecutive weeks no increase,5,7,Gompertz,0.994687241689093,5.071031356310672,92.29630906960186,1.1110077018614974
Liberia,LBR,6,2024-01-07,2024-04-21,4 consecutive weeks no increase,5,16,Gompertz,0.991336734104428,5.411617370593901,5.80628152569281,0.23385048387982837
Liberia,LBR,7,2024-08-04,2024-12-29,4 consecutive weeks no increase,58,22,Gompertz,0.9869615412764372,64.53804257368925,70.09020144768088,0.27606861854881076
Liberia,LBR,8,2025-01-12,2025-01-19,reached last data,1,2,Gompertz,,,,
Mauritius,MUS,1,2024-10-20,2024-11-17,4 consecutive weeks no increase,1,5,Gompertz,0.9999998173250901,1.0001418201462942,4190754487123.103,8.994148349767112
Morocco,MAR,1,2022-05-29,2024-10-06,reached last data,7,9,Gompertz,,,,
Mozambique,MOZ,1,2022-10-02,2022-10-30,4 consecutive weeks no increase,1,5,Gompertz,0.9999998173250901,1.0001418201462942,4190754487123.103,8.994148349767112
Nigeria,NGA,1,2022-01-02,2023-07-02,4 consecutive weeks no increase,843,79,Gompertz,0.9995948496533047,851.6365985277281,88.82867692033881,0.12017971820032808
Nigeria,NGA,2,2023-07-09,2023-08-20,4 consecutive weeks no increase,3,7,Gompertz,0.9800682316593604,3.0855383120376443,81.64343816429451,0.9824277697398605
Nigeria,NGA,3,2023-11-05,2024-01-14,4 consecutive weeks no increase,15,11,Gompertz,0.9974377885451315,14.751761165734782,3683.2069812923037,1.4707686557795145
Nigeria,NGA,4,2024-01-21,2025-01-12,reached last data,195,52,Gompertz,0.9938508147824047,1911.3395054834045,7.381964462751894,0.02160719842450987
Rwanda,RWA,1,2024-07-21,2024-08-18,4 consecutive weeks no increase,4,5,Gompertz,0.9999998093389528,4.000579479017305,3887654678742.1646,8.970050562800722
Rwanda,RWA,2,2024-09-08,2025-01-12,reached last data,78,19,Gompertz,0.9953515876066884,99.42035716567483,17.744430154382037,0.19933162816963534
Sierra Leone,SLE,1,2025-01-05,2025-01-19,reached last data,8,3,Gompertz,,,,
South Africa,ZAF,1,2022-06-26,2022-09-18,4 consecutive weeks no increase,5,13,Gompertz,0.9884751125498132,5.426585192397966,6.746718534858573,0.2880302179042218
South Africa,ZAF,2,2024-05-05,2024-08-25,4 consecutive weeks no increase,24,17,Gompertz,0.9972374602159935,24.13822944119631,53.69628329989401,0.46754632340956687
South Africa,ZAF,3,2024-09-01,2024-09-29,4 consecutive weeks no increase,1,5,Gompertz,0.9999998173250901,1.0001418201462942,4190754487123.103,8.994148349767112
Sudan,SDN,1,2022-07-31,2023-04-09,reached last data,19,9,Gompertz,0.983404642153358,28.131194463801464,41.79991985874265,0.3714577284907678
Uganda,UGA,1,2024-07-21,2025-01-19,reached last data,2031,27,Gompertz,0.9993345899597681,4958.737635124898,17.63249319832731,0.09686560364805441
Zambia,ZMB,1,2024-10-06,2024-11-03,4 consecutive weeks no increase,1,5,Gompertz,0.9999998173250901,1.0001418201462942,4190754487123.103,8.994148349767112
Zambia,ZMB,2,2024-12-22,2025-01-05,reached last data,3,3,Gompertz,,,,
Zimbabwe,ZWE,1,2024-10-06,2024-11-03,4 consecutive weeks no increase,2,5,Gompertz,0.9999997980439964,2.0002920746939665,3424342653719.082,8.936019982531011
